county,region,population,mpesa_users,bank_accounts,mobile_loans,sacco_members,financially_excluded,year
Nairobi,Nairobi,4397073,3890000,2100000,1200000,340000,180000,2021
Mombasa,Coast,1208333,980000,420000,310000,89000,98000,2021
Kisumu,Nyanza,1155574,820000,280000,198000,120000,145000,2021
Nakuru,Rift Valley,2162202,1650000,580000,390000,210000,198000,2021
Eldoret,Rift Valley,1163186,890000,310000,220000,180000,134000,2021
Machakos,Eastern,1098584,820000,240000,180000,95000,167000,2021
Kiambu,Central,2417735,2100000,890000,560000,320000,142000,2021
Kilifi,Coast,1453787,780000,180000,120000,45000,380000,2021
Kakamega,Western,1867579,980000,210000,145000,98000,420000,2021
Bungoma,Western,1670570,820000,180000,120000,87000,380000,2021
Meru,Eastern,1545714,980000,320000,210000,145000,198000,2021
Nyeri,Central,759164,580000,240000,160000,120000,89000,2021
Garissa,North Eastern,841353,210000,45000,28000,8000,520000,2021
Wajir,North Eastern,781263,145000,28000,15000,4000,580000,2021
Mandera,North Eastern,867457,120000,21000,12000,3000,620000,2021
Turkana,Rift Valley,926976,180000,28000,18000,5000,610000,2021
Marsabit,Eastern,459785,120000,21000,12000,4000,280000,2021
Isiolo,Eastern,268002,98000,18000,10000,3000,145000,2021
Samburu,Rift Valley,310327,89000,15000,8000,2000,187000,2021
Tana River,Coast,315943,98000,18000,10000,3000,189000,2021
